"Notes"	"States"	"States Code"	"Race"	"Race Code"	"Year"	"Year Code"	Count	Population	Age-Adjusted Rate	Crude Rate
	"Alabama"	"01"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	0	25139	0.000000000	0.000000000
	"Alabama"	"01"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	0	27003	0.000000000	0.000000000
	"Alabama"	"01"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	0	28065	0.000000000	0.000000000
	"Alabama"	"01"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	0	28974	0.000000000	0.000000000
	"Alabama"	"01"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	0	31165	0.000000000	0.000000000
	"Alabama"	"01"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	0	34844	0.000000000	0.000000000
	"Alabama"	"01"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	0	35728	0.000000000	0.000000000
	"Alabama"	"01"	"American Indian or Alaska Native"	"1002-5"	"2012"	"2012"	0	35882	0.000000000	0.000000000
	"Alabama"	"01"	"American Indian or Alaska Native"	"1002-5"	"2013"	"2013"	0	35943	0.000000000	0.000000000
	"Alabama"	"01"	"American Indian or Alaska Native"	"1002-5"	"2019"	"2019"	0	37830	0.000000000	0.000000000
	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	"2000"	"2000"	0	36561	0.000000000	0.000000000
	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	0	38517	0.000000000	0.000000000
	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	0	43407	0.000000000	0.000000000
	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	0	58975	0.000000000	0.000000000
	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	0	65242	0.000000000	0.000000000
	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	"2011"	"2011"	0	67371	0.000000000	0.000000000
	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	"2012"	"2012"	0	71067	0.000000000	0.000000000
	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	"2020"	"2020"	0	89692	0.000000000	0.000000000
	"Alabama"	"01"	"Black or African American"	"2054-5"	"2001"	"2001"	16	1177479	1.629929721	1.358835274
	"Alabama"	"01"	"Black or African American"	"2054-5"	"2002"	"2002"	20	1182591	1.902732773	1.691201776
	"Alabama"	"01"	"Black or African American"	"2054-5"	"2004"	"2004"	20	1199192	2.115739232	1.667789645
	"Alabama"	"01"	"Black or African American"	"2054-5"	"2005"	"2005"	18	1210020	1.815165203	1.487578718
	"Alabama"	"01"	"Black or African American"	"2054-5"	"2006"	"2006"	19	1230534	1.701908203	1.544045106
	"Alabama"	"01"	"Black or African American"	"2054-5"	"2007"	"2007"	21	1243867	2.096207307	1.688283394
	"Alabama"	"01"	"Black or African American"	"2054-5"	"2008"	"2008"	21	1259177	1.852950970	1.667756003
	"Alabama"	"01"	"Black or African American"	"2054-5"	"2009"	"2009"	29	1271247	2.589275060	2.281224656
	"Alabama"	"01"	"Black or African American"	"2054-5"	"2010"	"2010"	16	1282438	1.488826409	1.247623667
