"Notes"	"States"	"States Code"	"Year"	"Year Code"	Count	Population	Age-Adjusted Rate	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	658	4430141	14.6669	14.8528
	"Alabama"	"01"	"2000"	"2000"	637	4452173	14.0451	14.3076
	"Alabama"	"01"	"2001"	"2001"	682	4467634	14.9188	15.2654
	"Alabama"	"01"	"2002"	"2002"	682	4480089	14.7893	15.2229
	"Alabama"	"01"	"2003"	"2003"	684	4503491	14.7034	15.1882
	"Alabama"	"01"	"2004"	"2004"	799	4530729	16.7739	17.6351
	"Alabama"	"01"	"2005"	"2005"	980	4565917	20.3274	21.4634
	"Alabama"	"01"	"2006"	"2006"	960	4628981	19.5143	20.7389
	"Alabama"	"01"	"2007"	"2007"	1034	4672840	20.7343	22.1279
	"Alabama"	"01"	"2008"	"2008"	1124	4718206	22.0357	23.8226
	"Alabama"	"01"	"2009"	"2009"	1243	4757938	24.2443	26.1248
	"Alabama"	"01"	"2010"	"2010"	1212	4788081	23.0868	25.3129
	"Alabama"	"01"	"2011"	"2011"	1159	4812311	21.7263	24.0841
	"Alabama"	"01"	"2012"	"2012"	1278	4839463	23.5710	26.4079
	"Alabama"	"01"	"2013"	"2013"	1124	4864598	20.4043	23.1057
	"Alabama"	"01"	"2014"	"2014"	1136	4886870	20.7019	23.2460
	"Alabama"	"01"	"2015"	"2015"	1354	4908173	23.9468	27.5866
	"Alabama"	"01"	"2016"	"2016"	1467	4930490	25.6596	29.7536
	"Alabama"	"01"	"2017"	"2017"	1415	4951852	24.0522	28.5752
	"Alabama"	"01"	"2018"	"2018"	1438	4976062	24.6926	28.8984
	"Alabama"	"01"	"2019"	"2019"	1297	5003250	21.4061	25.9231
	"Alabama"	"01"	"2020"	"2020"	1181	5031362	19.2871	23.4728
	"Alabama"	"01"	"2021"	"2021"	1394	5049846	23.0168	27.6048
	"Alaska"	"02"	"1999"	"1999"	61	624779	13.6715	9.7635
	"Alaska"	"02"	"2000"	"2000"	59	627963	11.7547	9.3955
	"Alaska"	"02"	"2001"	"2001"	76	633714	15.3152	11.9928
	"Alaska"	"02"	"2002"	"2002"	76	642337	14.1996	11.8318
	"Alaska"	"02"	"2003"	"2003"	95	648414	17.3390	14.6511
	"Alaska"	"02"	"2004"	"2004"	84	659286	15.2223	12.7411
	"Alaska"	"02"	"2005"	"2005"	63	666946	10.9001	9.4460
	"Alaska"	"02"	"2006"	"2006"	59	675302	9.9860	8.7368
	"Alaska"	"02"	"2007"	"2007"	68	680300	11.9328	9.9956
	"Alaska"	"02"	"2008"	"2008"	83	687455	13.6396	12.0735
	"Alaska"	"02"	"2009"	"2009"	81	698895	13.0964	11.5897
	"Alaska"	"02"	"2010"	"2010"	106	714026	16.0907	14.8454
	"Alaska"	"02"	"2011"	"2011"	89	722610	13.7454	12.3165
	"Alaska"	"02"	"2012"	"2012"	110	731293	16.4461	15.0419
	"Alaska"	"02"	"2013"	"2013"	117	738288	18.1186	15.8475
	"Alaska"	"02"	"2014"	"2014"	117	737859	17.8312	15.8567
	"Alaska"	"02"	"2015"	"2015"	101	739305	15.4575	13.6615
	"Alaska"	"02"	"2016"	"2016"	108	743530	16.2050	14.5253
	"Alaska"	"02"	"2017"	"2017"	94	742015	13.5372	12.6682
	"Alaska"	"02"	"2018"	"2018"	123	737791	16.6760	16.6714
	"Alaska"	"02"	"2019"	"2019"	128	734885	17.7851	17.4177
	"Alaska"	"02"	"2020"	"2020"	108	732923	13.7951	14.7355
	"Alaska"	"02"	"2021"	"2021"	139	734182	18.1914	18.9326
	"Arizona"	"04"	"1999"	"1999"	972	5023823	19.6709	19.3478
	"Arizona"	"04"	"2000"	"2000"	962	5160586	18.8885	18.6413
	"Arizona"	"04"	"2001"	"2001"	1108	5273477	21.1973	21.0108
	"Arizona"	"04"	"2002"	"2002"	1115	5396255	20.8004	20.6625
	"Arizona"	"04"	"2003"	"2003"	1260	5510364	22.7695	22.8660
	"Arizona"	"04"	"2004"	"2004"	1032	5652404	18.0337	18.2577
	"Arizona"	"04"	"2005"	"2005"	978	5839077	16.5017	16.7492
	"Arizona"	"04"	"2006"	"2006"	1092	6029141	17.8260	18.1120
	"Arizona"	"04"	"2007"	"2007"	1090	6167681	17.3018	17.6728
